matricula,numero_bastidor,anno,marca,modelo,categoria,dni_usuario
9726-JDZ,D5D9ZZYH67372GAMZ,2016,Honda,Civic,cupé,49052482Z
8823-HMK,6676LW012V9Z02C4K,2014,Toyota,Yaris,descapotable,69767471F
5133-LDK,KBZDJL8T45RMX5DL0,2020,Renault,Megane,todoterreno,00518169W
2356-CLK,P9KG63VV572GT0DXP,2003,Toyota,Yaris,deportivo,53866692W
4422-HWX,ZJEANKFN4KJP13CFC,2014,Mercedes-Benz,E-Class,sedán,46971376V
1739-MBR,CEMACASR5252L2HF5,2023,Honda,CR-V,monovolumen,89007095Q
6742-FRZ,JVB0TMCD90SH1P40U,2008,Skoda,Fabia,berlina,34461254D
SE-6882-PN,P4NFJAHTXADBFUJDH,1999,Volkswagen,Polo,urbanos,91827955H
8009-BRG,0N5BA6VB79M17CSWR,2000,Mazda,MX-5,urbanos,72784515A
C-2233-PF,G3WZ4G1X5AAZ3NVKZ,1994,Ford,Fiesta,cupé,81054123F
6562-BXX,VJS43CEP0X6TTXASN,2000,Mazda,MX-5,sedán,63749206Z
CO-6105-DG,K526EMPXXTTP42861,1992,Ford,Fiesta,deportivo,05979833V
7841-FJV,V5WR136L6XG38KFTK,2008,Renault,Megane,urbanos,53866692W
Z-1065-GM,MV7GMWW67WU600FCP,1996,Renault,Megane,descapotable,75606558S
LE-4979-GR,G75WMG3R0Y4R2Y2UJ,1992,Renault,Kadjar,furgoneta,60146716Z
1197-HVC,GVM9W85X5LUKXHR19,2013,Renault,Scenic,deportivo,24568816D
CA-1890-YG,C75AXXN989JAGD1AB,1993,Skoda,Octavia,cupé,10267884V
3948-DNM,NBSZ9VDW5JG5LWAFF,2006,Audi,Q5,monovolumen,32254981B
7474-HYY,7MAYTCV63SHGA4V54,2012,Audi,Q7,descapotable,09290337Q
9875-LKW,74EJKNXC99SP5S6WJ,2020,Volkswagen,Passat,descapotable,30360483T
4305-LNL,VS2Y801K42SSXVV4H,2020,Seat,Ibiza,sedán,81223147G
6085-LVZ,8YA7EP5P7C4E4S5HK,2021,Skoda,Fabia,deportivo,27836013X
3453-LXD,TYEEHU4A73TU7FABW,2022,Mercedes-Benz,E-Class,cupé,77286781L
1668-HXD,VUDNSHDR2BHDH0HYP,2012,Ford,Focus,cupé,72018049N
5291-BYC,AYYJHVA14DXJLZLJP,2002,Kia,Sorento,todoterreno,36310754X
2867-DBC,Z7729CW2183FEENUE,2005,Nissan,Qashqai,furgoneta,93681654D
T-4643-JT,64D192W11JRC1WG1K,1993,Seat,Arona,urbanos,16803149Q
4852-MVM,Y5XAWHNR2RDT0LHUV,2023,Hyundai,Elantra,monovolumen,49006629T
3525-JFZ,074838DD1HY0CBXR7,2016,Volkswagen,Polo,cupé,54525511D
L-9774-WH,4JU5ZUV54WGNCW74S,1990,Volkswagen,Polo,berlina,62966769Z
2216-HPX,RHP2TUBY8NYFHFWW5,2012,Kia,Sportage,todoterreno,63623325N
7534-BML,7H0A6KYA5V42CZNK2,2002,Audi,Q7,cupé,17663238C
4858-CWN,JKRWKPL88R8ZMD8F1,2003,Peugeot,208,cupé,41605870C
2614-FMK,BTD3MC7Y6U7SS3A95,2008,Renault,Megane,descapotable,84706475M
9081-BFM,6SHA1D224HSWJHLFL,2001,Kia,Picanto,sedán,43319790A
OR-4927-ZV,DRJBVUZA906VA19E6,1992,Seat,Leon,sedán,36081137W
7324-CFL,DJTZVER2XYGGPW4RH,2004,Hyundai,Santa Fe,urbanos,75580490Y
BA-7982-FK,R1V4DFF535JXRECVN,1999,Ford,Mustang,descapotable,94018141Y
LU-3279-PY,T0E7FA2X9RTY3JF5G,1999,Hyundai,Santa Fe,furgoneta,38384262E
S-2406-RD,WA9K7LP25J52BSRAN,1995,Fiat,500,monovolumen,04603209N
7155-HTV,G49FMAK48MPJUKYFW,2014,Kia,Sorento,furgoneta,21472761F
CC-4601-YZ,M0E0R7L555N4B6TTC,1996,Fiat,500,descapotable,31741146L
8605-FLH,X9WH6DL175C5MT2MK,2007,Skoda,Superb,urbanos,05979833V
4823-DWH,BT23TRYL1FM3ZAGLF,2006,Nissan,Qashqai,berlina,88282769Y
ZA-1354-MG,XAMC9CB78MM6A96MM,1995,Ford,Focus,SUV,94047072A
C-9375-XS,H995RPXW8ZTLKWW4C,1992,Fiat,Punto,berlina,39270470V
1803-CBH,JVCCK1BMXDTTD20ZW,2003,Peugeot,308,furgoneta,89015256N
2850-BHW,70KJAVB42HJGXTLBG,2000,Ford,Fiesta,cupé,57747718P
7007-LYZ,K176TPH41WRPTB6MZ,2022,Honda,Jazz,berlina,54360279D
BU-4090-CH,1BAVJSXH5PXP45FMA,1992,Seat,Arona,monovolumen,67591083V
VA-1927-LG,S9D97R1V3TJBG9X7G,1991,Mercedes-Benz,GLC,sedán,21552708Y
LU-4536-TM,0PPETZAS3A6EP3A4A,1992,Honda,Jazz,todoterreno,44371891S
5015-DDK,BCGGXMH2X8GY3HYC5,2005,Seat,Leon,SUV,46355757Q
5699-HHF,TKPEG6TW8HUP8YXAG,2013,Mercedes-Benz,GLC,furgoneta,70971358M
4239-LWK,H5F95RS391U328RBE,2022,BMW,Z4,cupé,30708405R
4749-LMR,G0V8RNB23P71D9DEY,2021,Mazda,Mazda3,furgoneta,49474938Y
9860-FTL,86ZF08730A9TRCEUW,2007,Hyundai,Elantra,monovolumen,82090548Y
3689-KVL,U97FHDHB1D54GBVMC,2018,Ford,Fiesta,sedán,85275181J
HU-8539-ZD,V2VC7CXD165XFXJRC,1996,Hyundai,Elantra,furgoneta,52995263C
8048-DSP,2N81DHWT7FJNJAKLK,2006,Fiat,Tipo,todoterreno,25464805X
4061-BDL,AZ216YUR4CTSBG2J5,2001,Nissan,Leaf,urbanos,69491304R
7035-FMG,WJRAC9DV56EA3KYZA,2007,Skoda,Octavia,monovolumen,92266988G
5757-HXC,DGBTM1382PTM3EW3H,2013,Ford,Fiesta,deportivo,51580802J
4029-DZR,38GNZL5L8GHDHTYWG,2005,BMW,X5,furgoneta,99473103N
7404-LBW,25WV3U575WJS348D8,2020,Nissan,Juke,urbanos,68881283D
2940-FGB,S9EBF7205XBHMC9ND,2008,Nissan,Leaf,SUV,09164485C
7203-DNK,CY2NK7S31TN9CDYPR,2006,Hyundai,Santa Fe,cupé,17663238C
CU-6692-DZ,J9M3TMPF986ST9ZW6,1996,Toyota,Corolla,todoterreno,26032012Z
3129-JZM,445CFWDN19LDGJU2F,2016,Fiat,500,descapotable,75606558S
AL-1209-NR,6HD6F1MY2YS44DMRV,1996,Fiat,500,monovolumen,83705449P
9175-JYT,66F8153DXAHXN946N,2017,Ford,Focus,SUV,60928186J
9155-GPL,N8Z6NZ957BNWUCUNK,2010,Renault,Megane,descapotable,74132669N
AV-5467-MC,D7DFRLSDXT1NRE8HE,1991,Volkswagen,Passat,descapotable,84992084T
1907-DFB,5CCE4PWD8F27Y34ZU,2005,Peugeot,208,urbanos,82537437M
9951-HLC,80NM6UGJ6ZK5SNKD3,2012,Honda,Accord,SUV,91291476Z
8779-BTZ,PVUG1BGD68BCLYM0Y,2001,Mercedes-Benz,C-Class,todoterreno,89680047B
TO-3149-CW,DMMZ0WW97NS3ET140,1992,Kia,Sorento,furgoneta,73399841X
7827-LVG,2BD06WXB4HW2AC6UJ,2022,Audi,A4,deportivo,13710958Z
1487-JPH,X8WE9DPS2UM156HNY,2015,Mercedes-Benz,S-Class,cupé,16658718W
8712-GBL,AD9EU1AK703R9L79P,2010,Fiat,500,berlina,51806356Y
LE-7415-WJ,W9WA64KB5TUGJ30M2,1992,Mazda,CX-5,SUV,29004089P
2311-KXC,6UF6BB9E4GEXF9Y9H,2018,Skoda,Superb,deportivo,63452016F
4304-HLR,T8WZ9TSF28MCETWB8,2014,Seat,Arona,descapotable,24568816D
2106-LMC,YBUTJAUY8177M5MXG,2021,Fiat,500,urbanos,31036865K
5305-LPZ,D4J1M6EB6EDWNFB38,2020,Seat,Ibiza,sedán,10663999A
4205-HRL,WCSJG0LG4UK0C735F,2012,BMW,X5,deportivo,17113005Q
9525-FYX,PX8MMWUTXDUAECA8A,2007,Skoda,Kodiaq,urbanos,25489443S
3969-DXL,9G7X7TR69R69J4WRE,2006,BMW,X5,berlina,20329103R
6390-CTX,CEBLX5330Y8BCF5H0,2004,Mazda,MX-5,furgoneta,84675521D
L-8569-KG,080G8T4207216YK45,1993,Renault,Scenic,furgoneta,56361131E
6517-FPL,3R00NG3Z2WWF0F5D6,2007,Mercedes-Benz,GLC,SUV,20785054T
3036-LRS,M5DTWHKR7TG7A1JFF,2022,Mercedes-Benz,C-Class,todoterreno,85596867K
6293-FWR,1RATHZNM3ZLRFWDWZ,2007,Mercedes-Benz,GLC,monovolumen,74587272C
5103-FRS,R71KJJFN58ASKHSUR,2007,Peugeot,208,deportivo,46759783R
2006-BHP,THRGKGJ96VW2TBR1B,2002,Fiat,Panda,monovolumen,02301150T
SE-5579-GW,WKVY46RAX2DE1F167,1992,Renault,Kadjar,deportivo,40075471H
V-5479-LD,W6XFGGVC8J4W8U2N6,1999,Ford,Focus,furgoneta,16228657H
3872-HJW,FZHW7YSXXB0R78D4V,2014,Mercedes-Benz,S-Class,berlina,81074757X
9119-LXZ,000HYW8Z2AFU21GR6,2021,Toyota,Corolla,berlina,46759783R
9204-LWP,J4VE4LWC9AJT9WU0V,2020,Kia,Picanto,deportivo,38417551F
5759-JCC,Y7KXDG7F4PNU0V9VE,2016,Skoda,Kodiaq,cupé,09107690N
7297-FJL,PDBEHB102Y9RCF3YW,2007,Peugeot,208,cupé,98844106L
3784-BPY,SZ1FRB61XBL53XASN,2000,Kia,Sportage,descapotable,20536940X
2956-GFZ,NWJXUMY654N9B3NFG,2009,Volkswagen,Tiguan,cupé,35776920Y
5739-KCJ,PDGG9REE4UF380AYF,2019,Mercedes-Benz,S-Class,deportivo,80980333R
V-8154-YR,WGNN2Y5A63541040S,1997,Peugeot,308,todoterreno,75791835G
6394-DHK,P64HWZMZ4YSF8TPFK,2005,Kia,Ceed,monovolumen,89195140J
9673-KDJ,F3DZ5GYJXWFBG468U,2019,Toyota,Yaris,berlina,59122658P
9389-FGN,HL10PXBA0VE9EL557,2008,Ford,Mustang,sedán,92213200J
AV-3960-DL,SHLJ6HLD7XHPR7P5Y,1996,Audi,Q7,cupé,04545705P
5983-CHX,00JKV4W7XH2FDPLDD,2004,Toyota,Corolla,sedán,82537437M
OR-4737-YW,010E6P9U27E1M2GH6,1990,Audi,Q7,SUV,02711382G
5814-BKG,0K9UYPNB0F4NL7Z9N,2002,Peugeot,308,furgoneta,18512525D
H-8803-NZ,2D0982EL7ASKUHYLB,1990,Skoda,Octavia,monovolumen,99403051H
5295-HPY,8FUZ3YMD6U4MNJ1FF,2011,Mercedes-Benz,GLC,monovolumen,67010237J
9097-BWJ,KRBKH1SM35SP1S977,2002,Ford,Mustang,todoterreno,02443344P
6244-LXB,8BS145BC09ED7XT13,2020,Kia,Ceed,urbanos,78472001A
BA-6957-TY,T71BP4GF0JA0N8J8F,1993,Renault,Kadjar,sedán,93406577N
6002-DTR,9WTM3LVR0FGYZJZGC,2005,Kia,Ceed,berlina,57800447K
8124-KDH,296VFBHL7K821GY0R,2019,Seat,Leon,urbanos,20858453Y
VA-2990-XK,2K1JLSAU91P5ZAN3T,1998,Seat,Ateca,sedán,89686207F
2644-GHB,N9YRARN09634XBME6,2010,BMW,320,furgoneta,03156975H
9589-HGC,9C7S0UKJ13DJECS5S,2013,Renault,Scenic,furgoneta,38417551F
5312-DWP,TNZ0C20M5N2YS1DVN,2005,Toyota,RAV4,descapotable,06563175X
8823-BXR,3JBJAAEB2XTZB3A9L,2001,Audi,Q5,cupé,12244611D
2749-LPP,FX5NA6ZH2KMNZRA02,2021,Volkswagen,Passat,monovolumen,64451371N
9609-JWF,Y2E2WDN32GVVKGPKZ,2016,Honda,Jazz,SUV,71487201G
2735-LXP,Z7FH6WJM7U3MC50KZ,2022,Mercedes-Benz,GLC,monovolumen,91827955H
7694-HWF,YRUY8ACX3PB13K3R5,2011,Fiat,500,monovolumen,89680047B
5123-DKD,59ZS80AU8T96WJN7T,2006,Renault,Scenic,furgoneta,34065859F
6884-JPF,NCMV2L0Y51AWACSPD,2016,Seat,Ibiza,sedán,98902123F
LU-7840-GX,013C8T1330ZYJNX59,1999,Seat,Leon,urbanos,16177844N
7309-HCW,V2XPGFSE31BDNG7JD,2011,Peugeot,308,urbanos,01752913Z
8803-GKK,NGPU7KWE899SNGU9P,2010,Skoda,Superb,furgoneta,28068042S
4705-BLB,8N88GB485FX7Y1VFR,2000,Mercedes-Benz,GLC,todoterreno,84498552W
4011-MZC,7ELWG7ZC9RLMUX294,2023,Skoda,Octavia,berlina,44042711B
1336-GNL,GGDAZFD356F5DN8YN,2010,Ford,Fiesta,SUV,68602731X
7347-LDT,HS03BUJ60GCU3GR03,2022,Nissan,Leaf,berlina,87492649M
5935-MTP,X9ZGNKFPX8WVE7JZ2,2023,Mercedes-Benz,C-Class,todoterreno,69117657N
6950-HFS,5V9M6XVC5K9TBUJT0,2014,Volkswagen,Polo,descapotable,29289981X
7085-CZT,EZPY3KGR1JY0F31NA,2004,Hyundai,Tucson,SUV,10119844M
LO-6559-BS,32CJDEXM0UVX7PER6,1995,Honda,Accord,monovolumen,58908132A
5756-JJX,WNS7326F9V6WEDPGT,2016,Audi,Q5,cupé,73386478X
PM-5296-DC,WEU0WV2574XJK5PYB,1999,Skoda,Fabia,todoterreno,56795623K
3404-BBR,31H97C5W2KZ8FL4T0,2001,Toyota,Yaris,todoterreno,25525114J
2755-KZK,EJWMT0RD1P0RJ68E2,2018,Skoda,Fabia,urbanos,10771509B
LE-2987-BM,P863T7NS4C4REX7UA,1995,Nissan,Micra,berlina,35230363K
3923-BFK,NFACX18P737VJVS16,2002,Kia,Sorento,urbanos,20117185M
1644-BXH,YKRJR7PN9USYYFB5B,2001,Audi,A3,todoterreno,33161481N
CA-2403-SG,GL0WJTU36W9CNCG94,1994,Renault,Kadjar,SUV,07592906P
OR-7319-MH,GDAJXMDR57GBW5KSB,1994,Skoda,Superb,deportivo,20934209T
6984-DGB,3PH6WZ3N5U63U7BCL,2006,BMW,X5,sedán,92324617H
5180-BMY,8SVRUHGNXB8UB156T,2001,BMW,320,monovolumen,29453911L
BU-3116-XT,VTKB9ZHU110YVUDN8,1995,Honda,Civic,cupé,58908132A
4396-FLZ,8G8S9M3U3NYT0GX88,2008,Peugeot,308,sedán,99473103N
SE-2443-TG,4WY3ZUZ10Z6PSS50R,1990,Nissan,Micra,monovolumen,83705449P
3230-LKH,DKBJN74B1Z9LXRUA9,2020,Peugeot,208,todoterreno,25464805X
9278-LGH,7HBZNL7Z54M9VMLE6,2022,BMW,M3,todoterreno,97530395E
5819-HDJ,HTJTT765319SP03MK,2012,Mercedes-Benz,S-Class,cupé,36365076Y
4927-FPS,7BTSSTKL16LFXP1UJ,2007,Honda,Civic,urbanos,18033303S
VI-7020-HZ,WCRZ1ASLXL9GC46X5,1997,Hyundai,Elantra,SUV,27537881G
5147-CFK,H55MNSJR44EABR8S5,2003,Fiat,500,furgoneta,62927337G
BU-9559-NX,HE7BT6SP7SCK7AW98,1991,Peugeot,3008,deportivo,33911857J
SG-9443-CH,DUNDG1NF6345FJE0G,1995,BMW,X5,descapotable,29199239A
6042-HKH,PM7517JW1GJ13N88S,2012,BMW,X5,berlina,52411782A
9116-HCD,0VPUHD5MXXZVVYCKW,2011,Mercedes-Benz,E-Class,descapotable,78472001A
SA-6673-KN,F633C1MB3EAVLBGNU,1991,Volkswagen,Polo,todoterreno,56307711P
BI-6865-VV,73HMMPDF8A989AC7A,1992,Skoda,Kodiaq,sedán,62966769Z
TE-3416-XH,HBLG5EXSXF9S7PFKP,1990,Kia,Picanto,monovolumen,86117366F
3854-GKP,PUFVNAV25CXU75BHK,2010,Seat,Ibiza,descapotable,05337049Z
9148-KXL,ZH77HX1Z6ZET2X84T,2018,Fiat,500,descapotable,60146716Z
7868-BLT,DBB6U0W27VKZ3B8H2,2000,Mercedes-Benz,E-Class,berlina,82943828D
SO-5471-WL,GLDGKFSH1AA94L9Y8,1993,Seat,Ateca,descapotable,66764082G
9507-CCC,8312YJTZ91TMUSBUP,2003,Mercedes-Benz,C-Class,furgoneta,52707381Y
6595-LDC,DST7DD15XKWG0W9JV,2020,Toyota,Yaris,todoterreno,62213044E
1171-HRJ,32KYAVM0XS0A1N3X1,2014,Ford,Kuga,sedán,85852893B
3113-KYL,CYUSF6J98XM0FM297,2019,BMW,Z4,SUV,72743398X
5855-LMK,DMWWW1UP2BZHFCCBZ,2022,Nissan,Micra,cupé,39327882K
9637-MSP,ETM456DK7EYKRD712,2023,Mercedes-Benz,GLC,descapotable,27537881G
8323-MFM,Z5JZA4GT0Z50TFJ1J,2023,Audi,A3,todoterreno,53733159F
P-6593-TD,H22GSHJ97FSGPDF3T,1991,Renault,Clio,SUV,18418366N
6066-LGC,XK04JU2R8ZFF9XB4W,2020,Hyundai,Tucson,monovolumen,53200705A
7282-GWJ,KHEJM6EY9M12V4LYU,2010,Hyundai,Santa Fe,berlina,66764082G
1721-CXC,C3BRW4KW2FMHABJRR,2004,Peugeot,308,deportivo,20536940X
4344-JLC,ZHUPPPWX9A0SVZWMD,2015,Audi,Q5,urbanos,42396623X
9633-LFW,RS2B1KTZ1H6V93RLJ,2021,Fiat,500,furgoneta,34604830L
9176-FPX,4C3EZFC149ADWSRBZ,2008,Peugeot,208,sedán,06587865K
9464-HKJ,2VA61VL13GGHL0YJ8,2013,Honda,Accord,monovolumen,28953352D
B-1285-TG,K7N1RXLMXMMSVLMDK,1998,Skoda,Fabia,deportivo,42396623X
7215-GYR,TBWMU7N36ZGBDJVA3,2009,Mazda,CX-5,deportivo,08702735H
8107-JXJ,22BHNHYP7ZGYUG64A,2017,Toyota,Corolla,todoterreno,01943508P
8973-LVB,6P7UAS112H35YGUBG,2021,Honda,Civic,furgoneta,36584082Y
1049-DXC,Z7AXE1X16G7DSD198,2005,Mercedes-Benz,C-Class,berlina,49978125E
SA-5708-HY,NVFE9HEZ7LNPY0K2L,1998,Mercedes-Benz,E-Class,berlina,57933431L
1758-LKK,GJDM19VP0L14RYHT1,2021,Mazda,Mazda3,sedán,11923413Y
9120-DNL,32N7AVT321CRZMCGS,2006,Peugeot,308,berlina,29453911L
5664-HFJ,PZNKYLCZ0EZ7BRYEC,2012,Mercedes-Benz,GLC,berlina,01943508P
LU-6959-RF,3MZM0TY6879RLF6VZ,1990,BMW,Z4,sedán,80628273W
8073-HPG,BEK84J3J1TJVZMMPW,2014,Kia,Ceed,sedán,67333207V
SG-4658-CG,D0WCDGN75MBHY9FM4,1992,Fiat,500,descapotable,89007095Q
6209-BCW,1XTCXV423F6FPFHLP,2001,Volkswagen,Polo,furgoneta,29289981X
Z-6182-DK,EKUNXGV700DLY4UMS,1997,Renault,Scenic,monovolumen,03095125S
3320-BLV,FYD28NXM4EXU9U4FF,2000,Mercedes-Benz,GLC,urbanos,65709428S
LU-8834-FJ,L8501ANTXNB1HJX3G,1990,Fiat,Punto,todoterreno,31102423Y
HU-2784-XK,E8K7MFB04N5PDVDSG,1993,Renault,Scenic,sedán,50445264P
4649-HYJ,CW8HK72K4YT9BYMFG,2012,Seat,Leon,cupé,45189383H
2875-MFN,75XA6UXE878L2YLRK,2023,Renault,Kadjar,urbanos,33471052A
8714-HWG,X246YD1018UM6NNHW,2012,BMW,X5,berlina,52063360P
8170-HLX,WMF0FKUY5RU8ANKJ2,2013,Kia,Picanto,deportivo,81671366E
1123-HSV,1PSUE7BX20SB6XTZE,2011,Mazda,Mazda3,sedán,17113005Q
4792-KBG,1HCR7TPG6YEW02XA7,2018,Ford,Mustang,deportivo,40499678J
9834-BWZ,9R1TK85NX8YMNV5PD,2000,Audi,Q5,todoterreno,92404001Y
2281-HXV,4AFJZWTJ9XVVMYKR9,2014,Toyota,Yaris,deportivo,28953352D
6696-BWF,CGSM3P8G6KYY2LJ9B,2001,Peugeot,208,deportivo,30024051N
1744-MPC,HDKL128Z158BTMB0B,2023,Kia,Sorento,monovolumen,65230884D
T-8969-CN,Z8SF1NNRXB9DAH1HA,1992,Peugeot,308,todoterreno,65919939F
5767-LXN,38JXEK5P82CKLFP5M,2022,Skoda,Kodiaq,monovolumen,80569779C
PO-4626-BH,8XVGCNTT08W0M54N5,1991,Honda,Accord,berlina,07756856Z
T-7432-BG,LF9NKCMW35PZKWJDA,1993,Honda,Jazz,cupé,33148928V
4022-FXG,HCNBB98W2DJAFJE17,2007,Skoda,Kodiaq,sedán,89495444Y
4323-FJW,E6M7T45U0UVW235GC,2008,Ford,Mustang,descapotable,16889549M
TO-7118-RD,K73AF1Z226BRTR0J1,1991,Volkswagen,Passat,urbanos,49978125E
6526-DYX,AHFJDGGC1H3A6GJCJ,2006,Kia,Ceed,cupé,42443565D
4397-HGC,M8YVB2GF562ZM71MN,2011,Toyota,Yaris,SUV,67579359T
5427-BNP,MW4T5X931TUTS7UFF,2002,Seat,Ibiza,deportivo,84028672N
6746-HMS,GWG5JSS289EZDNS35,2012,Hyundai,Santa Fe,cupé,07522648S
5162-GVN,FM9WRCF755RDRZSGT,2010,Hyundai,i30,descapotable,49478338W
8056-HCC,M4V7ZJLFXNZ0B7HBZ,2011,BMW,X5,todoterreno,90741928M
9232-JRK,13W32XR2XKDJXEF6H,2017,Skoda,Fabia,deportivo,09115468Q
1585-GFF,XJ7RBT7U7GX1HU8LJ,2010,Nissan,Juke,berlina,20937525G
2881-HPM,NX9EDZ2J8DE2EB07L,2014,Toyota,Corolla,SUV,47912920X
2961-BXH,MH4Z1EK07PLG5N5U0,2001,BMW,Z4,sedán,21082516A
6909-JRS,NBZA0XG16NRMH51V9,2017,Peugeot,208,berlina,85275181J
SA-4351-VP,VHG0R2KC9FYXGRPCN,1993,Kia,Sportage,furgoneta,16442220A
CC-3243-VF,SHPDSYT50G59G0YTJ,1995,Kia,Sportage,descapotable,87055205K
BA-4118-WL,ET6HFWHX05F4U4AZ6,1990,Mazda,MX-5,berlina,88937629X
1384-HLG,PPTXFWD81PC7JE6FE,2014,Toyota,Corolla,SUV,83388961T
V-6704-XD,6STXM8B30TJTN173A,1990,Kia,Ceed,monovolumen,46914122X
7633-KLF,RK7CT7PN26HJELS1E,2019,Kia,Ceed,monovolumen,16344609G
4299-HCZ,WWE2YJCN5PNX9WYLA,2012,Renault,Kadjar,todoterreno,11110409Y
4730-GDL,RERAT7DL53T0V9FYF,2010,Audi,Q5,monovolumen,24003693L
A-8994-FK,1KW0262417M2NU2FR,1994,Audi,Q5,SUV,30429494B
ZA-9864-ZH,P3YUWVWTXDUG6MK0E,1999,Kia,Sorento,cupé,53733159F
5769-BCM,4JD2UWH33HK870DLA,2001,Hyundai,Elantra,monovolumen,35887391P
3955-JHT,AA3LUT9ZXX78TZGSU,2017,Audi,Q5,SUV,01052010J
4609-CJH,NL8MWTSV1RTL6VTUG,2003,Kia,Sportage,descapotable,64435970K
9167-BLC,MC3EU9D964BDPYR14,2000,Toyota,Camry,monovolumen,62010337Z
CS-9944-SY,DMKNTHC78TWXKMCV6,1997,Seat,Leon,deportivo,92326444M
9863-GKZ,GE4NA8GC9JN1VX8UL,2009,Peugeot,208,deportivo,33187725J
8994-DDW,T05G1SN0XDTSNB5DM,2006,Honda,Civic,descapotable,50640758W
7795-JWV,UG0AR7UK3PT8VDJXE,2016,Peugeot,208,deportivo,61404939E
8229-JGM,PNCLLS1R3Y78LY9R7,2017,Fiat,500,berlina,42970249Q
Z-1411-JJ,KHFW6VWW0L011F5GG,1993,Fiat,Tipo,monovolumen,24003693L
VI-5187-CH,JC7V9R9E2ZSX5HJUY,1993,Ford,Mustang,sedán,45587222A
8450-HFZ,5PLCPH0S9RHP4M0J7,2012,Seat,Arona,furgoneta,27574060G
5575-KGP,BTTF8REP6NBMEC0Z3,2019,Toyota,Corolla,monovolumen,27261576K
5181-HMG,274CUPXX0ZDVVJ5LP,2014,Mercedes-Benz,GLC,cupé,44042711B
8259-BVZ,NX8D30KAXUB3ZWBFR,2000,Seat,Leon,todoterreno,05060330P
NA-6781-SR,3SEGU0L6X71NR8DZ0,1992,Skoda,Fabia,urbanos,62312501G
9039-JPP,1MF1EJR41K4N6CMYM,2017,Fiat,500,furgoneta,11110409Y
5359-JSB,EXXC7GK58CCYLUSD6,2015,BMW,Z4,cupé,58352168H
9874-GGC,2E8GXKGH8NZKNJ8Z8,2010,Renault,Kadjar,berlina,04087601H
1969-LVG,8HWF8WG294R73102S,2021,Peugeot,308,deportivo,55728754F
8267-LXT,V3UD5BB566VEPCP41,2022,Seat,Leon,descapotable,45695612V
3809-FWM,PGNP97YJ8ZWUUJBZR,2007,Peugeot,308,sedán,14737468B
4138-DFT,57P9X8S646W992M3U,2005,Volkswagen,Polo,furgoneta,58998942D
3042-DCD,8B7GKD0S05LL1ABWM,2005,Volkswagen,Golf,furgoneta,52063360P
4950-BMG,6S5KVBJL2G1DUVF9C,2001,Volkswagen,Passat,sedán,06563175X
3112-HLR,03UVRAC6XRYNYN1D3,2011,Hyundai,Elantra,furgoneta,44693220B
3864-GTD,LM89K3941EWW2RAGB,2009,Fiat,Panda,descapotable,04617398X
9639-HVG,U0880U0Y53TW90NUE,2014,Honda,Civic,berlina,94917297T
2447-JJG,CLDK1U3A6ANBUUHYZ,2016,Mercedes-Benz,GLC,sedán,20536940X
9610-JPS,DZUWD6217NVR38EAE,2016,BMW,X5,SUV,83388961T
CU-4472-MM,2NEHYYVLX978C6Y3L,1997,Skoda,Fabia,furgoneta,49080047W
1469-BTX,DDX7P3NW2DR6GCABX,2002,Volkswagen,Polo,SUV,15506395W
5670-LNZ,LEGYHKXW0HM9USXU6,2020,Seat,Leon,cupé,28064242X
S-7738-BM,6MDHEB28162RWTZUG,1995,Honda,Civic,cupé,10114291H
4472-HMN,MGUDHMYM0YB7MM1UR,2011,Kia,Ceed,sedán,79720911J
SA-5659-HJ,M4A11JYZ5EMXYS2WR,1992,BMW,320,todoterreno,00847524C
GU-6662-GP,DK4TTJZX1KL7SEPSG,1996,Skoda,Octavia,deportivo,14893268D
5620-HRS,A7FW6S9C7KTWJ3CS1,2012,Audi,Q7,descapotable,29638077R
AV-9827-PR,KU9L2L7N8YY7FANT5,1996,Toyota,Camry,deportivo,79810898R
8505-CPC,26EXBKKG2GU8513VR,2003,Skoda,Fabia,descapotable,51165118P
3646-BDK,KUNYTNVPXNKSB2H0F,2002,Renault,Kadjar,SUV,36496256V
S-3043-PS,S7AZVWPW84H1T8DZF,1998,Mercedes-Benz,GLC,SUV,18267500A
A-6906-CX,0EDD063Y318SYM64X,1995,Audi,Q7,furgoneta,20792261P
7918-CWW,6ZUD5RU707UNLG00N,2003,Hyundai,Santa Fe,furgoneta,50046145P
3275-JTH,3XNSDCU55HXRLNZFY,2016,Mercedes-Benz,S-Class,berlina,53003570R
3386-JBS,KZNKFFTM8GTYR6P5K,2016,Peugeot,308,descapotable,78576986Q
1351-FYB,RPF5JDJ32VMUR7Z81,2008,Mercedes-Benz,S-Class,descapotable,75580490Y
MA-9418-NB,2P4630BN3DX36ENB7,1997,Hyundai,Elantra,SUV,62848405P
1991-GZH,28R7YTCX7XAHBNEGM,2010,Mazda,Mazda3,SUV,11943713C
9544-BMP,MF318B0B0JETRF974,2000,Audi,Q7,deportivo,94807574X
2849-KGS,L5X7U8PY21MWFFS8A,2018,Seat,Ateca,deportivo,15058765K
9342-JJT,4UTS0UTF7Z8ABRJJV,2016,Mazda,Mazda6,monovolumen,21194249W
SG-6893-JC,8U079SWW9GXWCBWYK,1993,Kia,Sorento,furgoneta,60643854F
